OTU	i_Si_2w_1	i_Si_2w_2	i_Si_2w_3	i_Si_4w_1	i_Si_4w_2	i_Si_4w_3	i_Si_6w_1	i_Si_6w_2	i_Si_6w_3	i_Si_8w_1	i_Si_8w_2	i_Si_8w_3	o_Si_1	o_Si_2	o_Si_3	i_So_2w_1	i_So_2w_2	i_So_2w_3	i_So_4w_1	i_So_4w_2	i_So_4w_3	i_So_6w_1	i_So_6w_2	i_So_6w_3	i_So_8w_1	i_So_8w_2	i_So_8w_3	o_So_1	o_So_2	o_So_3
ASV000127	36	189	3	0	1	0	0	0	0	0	0	0	1	0	0	12	37	5	114	90	26	0	64	4	1	6	0	0	0	0
ASV000125	0	0	0	199	3	0	0	0	0	41	21	13	0	0	0	0	0	0	6	8	20	0	1	5	0	96	169	0	0	0
ASV000316	29	0	0	0	0	0	0	10	420	26	0	0	0	0	0	6	0	0	5	0	8	18	10	15	23	0	0	0	0	4
ASV000099	0	0	0	0	0	569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000136	0	0	0	354	2	0	0	0	0	67	6	0	0	0	0	0	0	0	6	6	13	0	0	2	3	47	53	0	0	0
ASV000249	3	4	2	0	1	0	1	366	3	0	8	0	126	19	0	0	15	4	0	0	0	0	0	6	0	0	0	1	0	0
ASV000221	19	9	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
ASV000123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	8	0	5	0	0	0	0	1	0	0	0	0	0	16	498
ASV000233	0	0	0	0	0	0	43	0	314	0	0	28	0	0	0	0	0	0	41	0	23	0	16	0	43	14	0	14	12	0
ASV000129	26	17	9	0	0	0	0	0	0	0	0	0	125	0	0	21	80	105	9	21	15	23	17	0	47	0	0	10	7	8
ASV000134	0	4	7	0	0	0	46	0	0	0	0	0	6	65	252	10	33	0	0	8	9	0	0	5	7	6	0	0	0	80
ASV000124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	8	12	2	0	58	0	0	0	0	0	14	0	5	9	414
ASV000141	0	0	0	110	0	0	0	0	0	60	24	34	0	0	0	0	0	0	0	8	6	0	0	4	6	84	167	31	0	0
ASV000138	0	0	0	0	62	9	29	0	0	0	16	0	0	37	0	0	26	6	70	34	49	35	14	65	9	23	8	39	0	0
ASV000107	0	0	0	0	0	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000192	8	459	11	0	0	0	0	0	0	0	0	0	8	7	3	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000126	30	1	0	0	0	0	0	13	0	0	0	0	0	0	0	0	25	0	10	25	9	40	13	296	6	25	13	0	0	1
ASV000140	0	0	0	171	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	2	25	0	0	3	0	89	141	0	0	0
ASV000133	0	2	0	0	0	0	0	9	8	0	0	7	1	0	0	12	51	29	47	18	28	73	63	52	36	27	6	23	2	0
ASV000147	11	0	7	0	0	0	0	0	0	0	0	0	177	126	157	0	0	0	0	0	0	0	0	0	0	0	0	3	3	7
ASV000135	2	3	6	1	3	0	0	0	0	6	7	5	0	0	2	24	33	58	14	115	62	27	19	24	22	17	5	2	0	33
ASV000143	0	0	0	6	15	0	42	27	24	19	0	4	0	0	0	24	12	23	25	29	25	34	35	25	23	17	5	53	7	15
ASV000425	1	31	5	0	0	0	0	259	7	0	15	106	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV000154	4	9	9	0	0	0	0	0	0	0	0	0	0	0	0	80	112	183	11	0	0	4	2	0	1	0	0	31	9	5
ASV000229	0	0	7	0	46	0	21	196	0	0	9	0	0	0	0	7	3	0	17	42	41	3	4	46	10	2	3	0	0	1
ASV000198	11	298	10	0	0	0	0	0	0	0	0	0	96	5	4	0	11	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV000591	0	0	0	0	1	0	0	424	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV000150	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	10	36	120	19	24	11	14	15	36	34	31	2	42	22	8
ASV000177	0	0	4	0	0	0	50	0	0	0	0	0	72	60	173	11	0	0	0	19	0	0	3	0	0	0	0	27	2	8
ASV000152	0	0	0	139	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	3	4	0	1	5	0	115	113	0	0	0
ASV000163	0	0	0	143	6	0	0	0	0	37	14	9	0	0	0	0	0	0	2	9	12	0	2	10	8	54	116	0	0	0
ASV000607	0	0	0	0	5	0	0	406	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV000173	4	2	3	0	0	0	0	6	6	0	0	0	1	50	57	11	0	0	2	9	12	49	101	7	29	6	4	0	0	58
ASV000155	0	4	7	1	0	0	31	0	0	0	0	0	0	2	0	8	41	46	2	4	116	6	49	42	0	0	6	1	38	2
ASV000471	31	0	0	0	5	0	0	8	0	4	349	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0
ASV000199	86	95	86	0	0	0	0	0	0	0	0	0	33	40	40	3	0	0	0	0	0	0	0	0	0	0	0	18	0	0
ASV000178	0	0	0	118	0	22	0	0	0	56	9	11	0	0	0	0	0	0	3	8	10	0	1	2	5	72	83	0	0	0
ASV000161	34	0	0	0	0	0	16	0	0	0	7	0	111	0	0	25	2	0	0	55	37	10	30	14	27	10	7	13	0	0
ASV000225	0	50	0	0	0	0	0	0	0	125	0	0	96	37	79	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0
