pathway	i_Si_2w_1	i_Si_2w_2	i_Si_2w_3	i_Si_4w_1	i_Si_4w_2	i_Si_4w_3	i_Si_6w_1	i_Si_6w_2	i_Si_6w_3	i_Si_8w_1	i_Si_8w_2	i_Si_8w_3	o_Si_1	o_Si_2	o_Si_3	i_So_2w_1	i_So_2w_2	i_So_2w_3	i_So_4w_1	i_So_4w_2	i_So_4w_3	i_So_6w_1	i_So_6w_2	i_So_6w_3	i_So_8w_1	i_So_8w_2	i_So_8w_3	o_So_1	o_So_2	o_So_3
PWY-7385	7081.7149	8341.4372	2573.6991	7758.6133	4824.3753	7785.873	7746.6151	4004.7469	7732.7308	8296.7364	6354.8206	7678.6617	5815.0537	6571.038	5253.8641	9081.776	6902.4329	7074.2404	5743.84	5545.1041	6314.0049	6704.5558	4377.6501	6596.7326	5221.3797	7980.0404	8948.4276	8167.9137	4411.9631	5259.3077
PWY-7431	12770.8548	23820.2854	4965.9815	24662.5645	5577.1208	7227.4809	22296.7134	6115.749	12808.5356	18240.4567	7626.729	7907.3868	13772.0995	15663.2117	18042.2506	40797.0652	16708.1879	16883.2151	14815.1686	15773.0007	16965.2567	13438.6583	11437.744	16629.0142	15009.0625	22953.9286	25448.2088	19888.3711	6325.2772	13153.3247
PWY-7663	4009.4697	7420.0098	1882.6709	5588.4284	1978.6969	490.7534	6211.7055	1755.1234	4818.4177	8089.0244	4633.897	1847.8629	4732.3633	5763.0457	4212.7126	4964.1358	5523.0007	5732.3405	4460.4053	4380.6223	5001.507	5137.0286	3432.703	5772.3925	4410.0362	6464.5688	7335.5059	5529.1235	1678.2916	4267.4933
PWY-922	8365.4278	10124.5688	3041.315	9416.7084	10106.9005	11924.1041	8999.7634	4463.7193	8538.7489	9560.8787	6984.6157	9410.0562	6655.3091	7783.4826	7365.1345	9456.5759	7886.7316	8053.8958	6542.3699	6299.9254	7119.4715	7372.0093	4986.0304	7350.1229	5817.5987	9158.1288	10302.4276	8859.894	8971.5459	5932.495
PWY0-1319	7386.3833	6743.8148	2519.2589	5645.0861	9571.4549	11433.8328	6963.0895	4004.8755	7312.7899	7324.2364	5965.4399	8738.1591	5120.4235	5515.2451	3960.2746	8279.588	6637.0952	6786.0837	5053.9366	4887.0026	5635.0689	6260.182	3925.1985	5880.5234	4371.4123	6281.4213	6903.0432	7653.5226	8514.6302	4721.2621
PWY0-166	9014.2259	10591.1909	3436.3051	10238.6971	11749.5288	14869.7845	10045.5697	4517.6423	8562.7769	9954.1154	7355.2059	10030.6959	7152.6682	8226.8927	7906.9404	10292.7473	8488.2927	8708.9541	7092.129	6862.7748	7791.8082	7779.3472	5445.0267	7804.5439	6267.7699	9846.7162	11057.7824	9513.9107	10475.267	6251.3355
PWY4FS-7	171.3977	68.5976	237.2192	11.9862	233.2107	50.849	1486.0064	426.8914	8.9929	11.9881	35.8624	0	565.445	385.5234	288.5051	29.9301	211.6664	280.5108	467.2672	358.3048	248.1383	245.7395	234.1589	228.3947	364.8209	165.4655	53.7619	80.4657	171.6932	493.7775
PWY4FS-8	171.3977	68.5976	237.2192	11.9862	233.2107	50.849	1486.0064	426.8914	8.9929	11.9881	35.8624	0	565.445	385.5234	288.5051	29.9301	211.6664	280.5108	467.2672	358.3048	248.1383	245.7395	234.1589	228.3947	364.8209	165.4655	53.7619	80.4657	171.6932	493.7775
SER-GLYSYN-PWY	10881.0812	13519.5213	3997.1197	12833.7189	12189.5986	14484.4329	12147.4895	5677.4365	11078.8706	12656.0775	9026.0463	11668.9045	8912.18	10399.7236	9940.2577	13601.1883	10544.8601	10784.2894	8764.9824	8517.8111	9658.6694	9857.0268	6722.6541	9988.6838	7950.8502	12349.4973	13865.1496	12101.8621	10946.1266	7931.8212
SO4ASSIM-PWY	5560.4016	8962.4496	2587.1292	9136.6177	9395.8828	8975.4729	7828.8631	2035.8115	3528.9121	7122.1098	4548.2249	5290.9421	5451.2512	6624.4139	7055.6536	4727.2937	5912.5182	6078.6639	5597.3557	5325.3149	5959.3112	4684.5688	4229.544	5498.1755	4904.9678	8427.1816	9539.1781	5973.5317	8195.6299	4381.0297
SUCSYN-PWY	918.2227	1019.7632	300.2881	113.8134	2052.8276	525.7845	1762.7443	1166.0086	267.1952	147.7461	1577.2267	473.7285	29.8647	862.1144	708.9726	2339.6024	3160.0361	2942.1439	2810.2516	1971.5381	2721.1587	1848.1358	1987.0815	2175.1218	1517.0682	1147.7174	230.2891	742.0499	630.6866	1869.8145
TCA	7163.4338	3848.7266	2507.6359	2845.9001	13652.3796	11615.9762	4939.4095	1918.6031	516.6432	2044.5521	4549.9953	9177.1219	2988.9594	2152.4704	1472.4235	1944.8375	2892.6405	4160.3575	2144.4015	2886.3351	2752.9806	2025.0687	1779.4761	1849.0684	1497.7254	2751.8763	2901.0105	4661.3024	11839.338	3373.3715
THRESYN-PWY	9051.5317	10670.5784	3263.3298	10078.5254	11190.968	12897.2838	9753.3459	4682.9755	9005.5615	10031.5112	7396.36	10014.4254	6968.9145	8059.4529	7649.4585	10964.0243	8561.4643	8748.424	7072.7963	6866.5316	7810.572	7947.0848	5432.8661	8066.2926	6376.266	9756.4649	10900.916	9687.6413	9921.8621	6396.3434
TRNA-CHARGING-PWY	12161.4399	15286.3158	4485.6223	14734.0027	14012.2936	16759.3263	13464.5319	6361.5335	12482.2801	14368.9974	10253.9187	13375.2193	9846.0835	11515.6192	10874.2883	14329.2661	11740.1811	12020.8686	9815.5924	9455.2914	10753.0257	11050.3972	7495.2078	11069.7341	8843.4261	14071.9007	15905.3531	13068.4868	12464.6758	8688.591
TYRFUMCAT-PWY	7051.6132	10520.5149	2302.5718	12439.6397	3028.7613	3824.2361	9813.5929	3915.4459	8924.879	10008.4741	4998.3629	6367.8023	5899.8702	6874.6808	7387.3067	13795.8813	7669.3779	7984.315	6562.7179	6762.4222	7588.5041	6753.2164	5146.5795	8625.4451	6948.2236	11163.6877	12851.3599	8353.7721	2606.2466	5743.2468
VALSYN-PWY	11631.0532	14253.5978	4271.1783	13480.8108	13735.5273	15996.0376	12772.8514	6173.3564	11933.1396	13470.2509	9671.203	12951.3907	9222.9647	10794.4567	10221.0205	13625.677	11047.9574	11303.4416	9223.3392	8884.4961	10064.5673	10268.7227	7024.8714	10381.8266	8256.6557	12948.8971	14588.1877	12358.7655	12120.0791	8225.1949
