OTU	i_Si_2w_1	i_Si_2w_2	i_Si_2w_3	i_Si_4w_1	i_Si_4w_2	i_Si_4w_3	i_Si_6w_1	i_Si_6w_2	i_Si_6w_3	i_Si_8w_1	i_Si_8w_2	i_Si_8w_3	o_Si_1	o_Si_2	o_Si_3	i_So_2w_1	i_So_2w_2	i_So_2w_3	i_So_4w_1	i_So_4w_2	i_So_4w_3	i_So_6w_1	i_So_6w_2	i_So_6w_3	i_So_8w_1	i_So_8w_2	i_So_8w_3	o_So_1	o_So_2	o_So_3	Phylum
ASV000781	1	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000854	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000864	0	0	0	47	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	
ASV000943	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000979	0	7	0	0	0	0	10	0	14	0	0	0	0	0	0	0	0	0	0	0	0	6	7	11	0	0	0	0	0	0	Ascomycota
ASV000719	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	0	Ascomycota
ASV000752	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	48	0	Basidiomycota
ASV000828	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	Ascomycota
ASV000865	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	31	19	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000981	48	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001036	1	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001257	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
ASV000673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	2	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16	35	0	0	0	0	0	0	0	Basidiomycota
ASV000806	0	0	3	0	0	0	0	0	0	0	0	0	0	44	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	Ascomycota
ASV000821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	27	6	0	0	0	0	13	0	5	Ascomycota
ASV000859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	12	23	0	0	15	0	0	0	0	Basidiomycota
ASV000959	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001004	0	46	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	Ascomycota
ASV001028	0	46	2	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001299	0	0	0	1	48	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ASV000728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	10	2	5	9	1	10	9	1	0	0	3	Ascomycota
ASV000851	0	0	0	0	0	0	0	0	0	0	0	0	29	3	19	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Glomeromycota
ASV000863	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	13	1	0	0	0	0	0	0	7	0	27	0	0	Ascomycota
ASV000874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	Ascomycota
ASV000892	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	45	0	0	0	0	0	0	0	0	0	0	0	0	
ASV000902	46	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	Mucoromycota
ASV001176	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	0	16	0	4	3	0	0	0	0	Ascomycota
ASV000727	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000745	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	47	0	Ascomycota
ASV000751	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	13	1	17	2	0	0	0	0	0	0	
ASV000827	0	0	0	0	0	4	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota
ASV000835	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	Ascomycota
ASV001073	0	49	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001252	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001319	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota
ASV000746	0	0	0	41	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000753	11	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	25	0	1	4	0	0	0	0	0	0	
ASV000786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	Ascomycota
ASV000836	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	0	1	0	6	14	23	0	0	0	Ascomycota
ASV000839	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	4	0	0	0	0	Ascomycota
ASV000861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	1	3	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	12	6	4	24	0	0	0	0	0	0	Ascomycota
ASV001068	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	Ascomycota
ASV001344	0	0	0	0	47	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ASV001461	0	1	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Mortierellomycota
ASV000748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	45	Basidiomycota
ASV000758	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ASV000768	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Mortierellomycota
ASV000823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	47	Basidiomycota
ASV000868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	15	0	22	0	8	0	0	0	0	0	0	0	Ascomycota
ASV000904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	24	0	0	0	0	0	24	Ascomycota
ASV000930	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000777	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	3	0	10	0	0	3	0	0	0	0	0	15	14	
ASV000804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	Ascomycota
ASV000837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	17	28	0	0	0	Ascomycota
ASV000956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	25	0	0	0	0	0	0	0	0	0	0	0	19	Ascomycota
ASV001052	0	0	2	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Ascomycota
ASV001185	2	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota
ASV001283	0	38	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000787	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	17	0	0	0	0	0	0	0	Ascomycota
ASV000884	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	3	2	0	32	2	0	0	0	0	Basidiomycota
ASV000913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	46	Ascomycota
ASV000995	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	30	0	0	0	Basidiomycota
ASV001042	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000850	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	Ascomycota
ASV000855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	9	0	0	14	0	0	0	0	4	Ascomycota
ASV000960	0	0	0	38	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000970	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	35	0	0	0	0	0	0	0	3	0	0	0	0	Basidiomycota
ASV001060	0	0	0	0	0	0	0	0	0	0	0	0	0	13	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	Ascomycota
ASV001118	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	33	0	0	0	0	0	0	0	0	0	0	5	0	0	Ascomycota
ASV001483	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota
ASV000824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	13	8	0	0	0	0	Ascomycota
ASV000826	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	20	0	0	0	Ascomycota
ASV000919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	7	1	0	0	0	0	0	0	18	Ascomycota
ASV000920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	5	0	0	0	14	9	0	Ascomycota
ASV000957	1	1	2	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	Ascomycota
ASV000982	0	0	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	17	8	0	0	7	0	0	0	0	Ascomycota
ASV001244	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001508	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000775	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	19	0	0	2	Ascomycota
ASV000840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	3	0	1	6	0	5	4	0	14	2	0	0	2	Ascomycota
ASV000841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	4	10	22	Ascomycota
ASV000862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	2	0	0	0	0	0	0	0	0	0	4	14	12	Ascomycota
ASV000877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	40	0	0	0	0	0	0	Basidiomycota
ASV000932	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	5	18	0	3	5	0	0	0	0	0	0	Rozellomycota
ASV000942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	41	
ASV000961	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Glomeromycota
ASV000975	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	13	11	0	0	11	0	0	0	0	Ascomycota
ASV001046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	Glomeromycota
ASV001076	0	0	0	0	0	0	0	8	0	0	0	4	0	0	0	0	0	0	0	0	0	14	13	2	0	0	0	3	0	0	Ascomycota
ASV001146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota
ASV000760	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	Ascomycota
ASV000829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	21	0	0	0	Basidiomycota
ASV000908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	3	0	0	0	0	22	7	5	Ascomycota
ASV000946	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	15	21	Ascomycota
ASV000955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	22	0	10	0	0	0	9	0	0	0	0	Ascomycota
ASV000992	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	2	0	0	Ascomycota
ASV001101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	31	0	0	0	0	Chytridiomycota
ASV001138	0	39	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Mortierellomycota
ASV001177	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1	0	0	0	3	0	18	0	0	0	0	0	Ascomycota
ASV001189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	
ASV001600	0	0	0	7	0	0	0	28	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ASV000838	1	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Mortierellomycota
ASV000848	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	33	1	0	Ascomycota
ASV000890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	8	29	
ASV000893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	7	0	0	0	0	0	0	0	0	0	19	9	2	Basidiomycota
ASV000939	0	0	0	0	0	0	4	0	12	0	0	0	0	0	0	0	0	0	0	0	9	17	0	0	0	0	0	0	0	0	Mortierellomycota
ASV000987	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	39	0	0	Basidiomycota
ASV001097	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	23	5	0	0	0	0	0	0	0	Ascomycota
ASV001163	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001303	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV002355	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ASV002423	0	0	0	0	4	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ASV002545	0	0	0	0	0	0	0	0	40	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota
ASV000801	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	6	8	0	0	0	0	0	24	0	0	Basidiomycota
ASV001014	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001033	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	4	3	1	0	12	9	3	0	0	0	0	Rozellomycota
ASV001045	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota
ASV001106	3	0	0	0	0	0	0	0	0	0	0	0	0	22	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001150	1	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001564	0	0	0	0	37	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota
ASV002281	0	0	0	1	0	0	0	6	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ASV000803	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000832	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	2	0	0	Basidiomycota
ASV000858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	12	0	0	17	0	0	0	0	0	0	0	Mortierellomycota
ASV000869	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	4	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	6	0	0	0	2	7	0	0	0	0	6	1	6	Ascomycota
ASV000911	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	2	1	1	Ascomycota
ASV000922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	14	1	0	0	0	0	0	0	0	Rozellomycota
ASV000938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	12	0	0	0	3	1	Ascomycota
ASV000985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	0	0	0	Ascomycota
ASV000997	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	27	0	0	0	Ascomycota
ASV001082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	38	0	0	1	0	0	0	0	Ascomycota
ASV001154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	
ASV001280	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001433	2	37	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000731	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	8	0	0	0	0	0	0	0	Mortierellomycota
ASV000883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	36	Ascomycota
ASV000903	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota
ASV001006	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	12	24	0	0	0	Ascomycota
ASV001048	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001123	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001240	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	
ASV001362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Glomeromycota
ASV001430	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000871	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	11	11	0	0	0	0	0	6	0	Ascomycota
ASV000937	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	2	0	0	0	0	0	0	32	Ascomycota
ASV000971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	5	0	0	7	0	0	0	0	Basidiomycota
ASV001020	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	33	0	0	Basidiomycota
ASV001022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	20	16	0	0	0	Ascomycota
ASV001061	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	10	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001072	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	20	13	0	0	0	0	0	0	Ascomycota
ASV001074	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	29	0	0	Mortierellomycota
ASV001145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	12	0	0	0	0	0	0	0	0	0	0	2	0	1	Basidiomycota
ASV001178	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001261	0	0	0	0	0	0	0	0	0	0	0	0	0	34	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000852	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	7	0	0	0	0	0	0	11	0	11	0	Ascomycota
ASV000872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	8	9	0	0	1	1	0	0	0	0	0	0	0	Ascomycota
ASV000917	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	19	0	0	0	0	0	0	0	0	2	0	Ascomycota
ASV000953	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ASV000977	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV000980	1	1	1	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Glomeromycota
ASV000991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	10	0	0	16	2	Ascomycota
ASV000994	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	2	1	8	18	0	0	0	Ascomycota
ASV001026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	
ASV001029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	0	1	0	0	4	22	Ascomycota
ASV001055	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	26	0	0	0	0	0	Ascomycota
ASV001080	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	0	Glomeromycota
ASV001152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	
ASV001182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	26	0	Basidiomycota
ASV001196	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	Glomeromycota
ASV001404	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001443	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota
ASV001556	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
ASV001827	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota
ASV000927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	0	0	0	Mortierellomycota
ASV000934	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	5	26	0	0	0	0	Ascomycota
ASV000958	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	3	0	0	10	1	13	0	0	0	0	0	0	0	Ascomycota
ASV000973	0	1	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Ascomycota
