,logFC,logCPM,LR,PValue,FDR,Domain,Phylum,Class,Order,Family,Genus,Species,threshold
ASV001954,-1.0564109499678,7.31936253725637,0.485906709468298,0.485758931710276,0.784042842117005,Fungi,Ascomycota,Eurotiomycetes,,,,,Not significant
ASV001989,-1.05685352588847,7.31942851107419,0.485413250971089,0.485980513891712,0.784042842117005,Fungi,Ascomycota,,,,,,Not significant
ASV002007,0.144985247808416,7.28371831564554,0.0252167306774744,0.873828208478334,0.885798457909544,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_humilis,Not significant
ASV002019,-2.65482779200979,7.44148678434806,3.66973678508713,0.0554089338883325,0.329165813186534,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Not significant
ASV002022,-2.67360525602503,7.45200737898534,2.35823734802947,0.124622931808054,0.534181218564173,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Cephalotrichum,Cephalotrichum_stemonitis,Not significant
ASV002059,-2.12195997734868,7.36777167025838,3.61392499889609,0.0572977409063913,0.33569967305569,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,,Not significant
ASV002060,-2.85227744947517,7.48160420183963,0.881319849450198,0.347840438003623,0.784042842117005,Fungi,Ascomycota,,,,,,Not significant
ASV002069,-2.58945087806346,7.43950979011192,0.725217163396058,0.394437898814196,0.784042842117005,Fungi,Basidiomycota,Agaricomycetes,,,,,Not significant
ASV002074,-1.89118859612482,7.34370042676708,3.53298100642307,0.0601595349995711,0.347679214157114,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,,,Not significant
ASV002085,-2.34245977667038,7.39960994191312,2.23775160517542,0.134676685177009,0.556358539250655,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,Ganoderma_australe,Not significant
ASV002114,2.60690425237744,7.44207632704136,0.551326375059113,0.457776243938307,0.784042842117005,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucoagaricus,,Not significant
ASV002115,-2.18618441668733,7.38421885720798,0.496271360055677,0.481143051868824,0.784042842117005,Fungi,Ascomycota,,,,,,Not significant
ASV002117,-1.91068866857015,7.34524487362453,1.84973631838989,0.173814065205761,0.583857203280113,Fungi,Basidiomycota,Agaricomycetes,,,,,Not significant
ASV002120,-1.96831366938224,7.35208476772248,1.8400084851791,0.174949952736587,0.583857203280113,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida_albicans,Not significant
ASV002142,-0.874101808989737,7.29125699886997,0.983620142312458,0.321306682652383,0.784042842117005,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Biatriosporaceae,Biatriospora,Biatriospora_mackinnonii,Not significant
ASV002156,-3.13009439485664,7.53190348939234,1.30130241598695,0.253975459344818,0.715030935718929,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,Not significant
ASV002172,-2.27148333799219,7.39148737515458,2.47962711372376,0.115329592427968,0.519288270667728,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucoagaricus,,Not significant
ASV002178,2.56987746357281,7.43650374807997,0.547772501183632,0.459229279960684,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,Schizothecium_carpinicola,Not significant
ASV002189,-2.36783311807894,7.40785348186798,0.514460923626307,0.473214106686742,0.784042842117005,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Iodophanus,,Not significant
ASV002197,-2.54389772092762,7.43278826678121,0.531630167050381,0.465922308650327,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Branch06,,,,Not significant
ASV002201,-3.55891937367141,7.62014608973568,0.872119363584142,0.350369246700056,0.784042842117005,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida_quercitrusa,Not significant
ASV002215,-3.13270562641198,7.53190348939234,0.681134351856254,0.409196387652353,0.784042842117005,Fungi,Basidiomycota,Agaricomycetes,,,,,Not significant
ASV002217,-2.42652533516382,7.41593912055078,0.520230967545232,0.470743174445898,0.784042842117005,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,Not significant
ASV002241,-3.5588759198991,7.62014608973568,0.878243984026325,0.34868308944997,0.784042842117005,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Thanatephorus,Thanatephorus_cucumeris,Not significant
ASV002244,-2.64674328577186,7.44785144914211,1.94110286714295,0.163548836539726,0.576912165369147,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Clavatospora,Clavatospora_longibrachiata,Not significant
ASV002251,-2.32765949533219,7.40244714567651,0.510482676222038,0.474929983869901,0.784042842117005,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Not significant
ASV002262,-2.7229491696284,7.46028961932122,0.548698376500183,0.458850025006245,0.784042842117005,Fungi,Basidiomycota,Agaricomycetes,Polyporales,,,,Not significant
ASV002263,-2.87879246262515,7.4860617827594,0.586246503094074,0.443874254247952,0.784042842117005,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,,,,Not significant
ASV002272,-2.54389772092762,7.43278826678121,0.531630167050381,0.465922308650327,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,,Not significant
ASV002277,-2.1772395669841,7.37898693990646,1.83652840917273,0.175358384557149,0.583857203280113,Fungi,Rozellomycota,Rozellomycotina_cls_Incertae_sedis,GS11,,,,Not significant
ASV002291,2.56987746357281,7.43650374807997,0.547772501183632,0.459229279960684,0.784042842117005,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_elongata,Not significant
ASV002316,-2.87879301137095,7.4860617827594,0.585789819224326,0.444051803148013,0.784042842117005,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Gamsylella,Gamsylella_gephyropaga,Not significant
ASV002326,-2.37027812013726,7.40818586031777,0.51470227466737,0.473110331829184,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Clavatospora,Clavatospora_longibrachiata,Not significant
ASV002330,-2.42652533516382,7.41593912055078,0.520230967545232,0.470743174445898,0.784042842117005,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Not significant
ASV002340,2.12854583130696,7.37698290058171,0.519017222267219,0.471261208304933,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Purpureocillium,,Not significant
ASV002346,2.60690425237744,7.44207632704136,0.551326375059113,0.457776243938307,0.784042842117005,Fungi,Ascomycota,Sordariomycetes,Sordariales,,,,Not significant
ASV002357,-2.32765949533219,7.40244714567651,0.510482676222038,0.474929983869901,0.784042842117005,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaetopsis,Pyrenochaetopsis_leptospora,Not significant
ASV002359,-2.76718246767496,7.45953257816897,3.36085759094047,0.0667632920395903,0.367144177871996,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Anguillospora,Anguillospora_longissima,Not significant
ASV002367,-1.83138478903993,7.33361411753552,3.23444796416942,0.0721046000999765,0.382792616563598,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,,,Not significant
ASV002374,-2.36783311807894,7.40785348186798,0.514460923626307,0.473214106686742,0.784042842117005,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Not significant
ASV002377,-2.7229491696284,7.46028961932122,0.548698376500183,0.458850025006245,0.784042842117005,Fungi,,,,,,,Not significant
ASV002387,-2.18618441668733,7.38421885720798,0.496271360055677,0.481143051868824,0.784042842117005,Fungi,Basidiomycota,Agaricomycetes,,,,,Not significant
ASV002398,-3.13270714401056,7.53190348939234,0.680724625622336,0.40933731355155,0.784042842117005,Fungi,Chytridiomycota,,,,,,Not significant
ASV002476,-2.31414395303678,7.39901943796772,1.86304367831878,0.172273926785982,0.583524547159295,Fungi,,,,,,,Not significant
ASV002478,-2.41657445798081,7.40706403216659,3.2336268856397,0.0721407543987777,0.382792616563598,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,,,Not significant
ASV002489,2.81315662060654,7.47402186606774,2.163169645328,0.14135284511186,0.565951818641464,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,,Not significant
ASV002607,-2.54389772092762,7.43278826678121,0.531630167050381,0.465922308650327,0.784042842117005,Fungi,Rozellomycota,Rozellomycotina_cls_Incertae_sedis,GS05,,,,Not significant
