OTU	Total_tags	i_Si_2w_1_tags	i_Si_2w_2_tags	i_Si_2w_3_tags	i_Si_4w_1_tags	i_Si_4w_2_tags	i_Si_4w_3_tags	i_Si_6w_1_tags	i_Si_6w_2_tags	i_Si_6w_3_tags	i_Si_8w_1_tags	i_Si_8w_2_tags	i_Si_8w_3_tags	o_Si_1_tags	o_Si_2_tags	o_Si_3_tags	i_So_2w_1_tags	i_So_2w_2_tags	i_So_2w_3_tags	i_So_4w_1_tags	i_So_4w_2_tags	i_So_4w_3_tags	i_So_6w_1_tags	i_So_6w_2_tags	i_So_6w_3_tags	i_So_8w_1_tags	i_So_8w_2_tags	i_So_8w_3_tags	o_So_1_tags	o_So_2_tags	o_So_3_tags	i_Si_2w_1_relative_abundance	i_Si_2w_2_relative_abundance	i_Si_2w_3_relative_abundance	i_Si_4w_1_relative_abundance	i_Si_4w_2_relative_abundance	i_Si_4w_3_relative_abundance	i_Si_6w_1_relative_abundance	i_Si_6w_2_relative_abundance	i_Si_6w_3_relative_abundance	i_Si_8w_1_relative_abundance	i_Si_8w_2_relative_abundance	i_Si_8w_3_relative_abundance	o_Si_1_relative_abundance	o_Si_2_relative_abundance	o_Si_3_relative_abundance	i_So_2w_1_relative_abundance	i_So_2w_2_relative_abundance	i_So_2w_3_relative_abundance	i_So_4w_1_relative_abundance	i_So_4w_2_relative_abundance	i_So_4w_3_relative_abundance	i_So_6w_1_relative_abundance	i_So_6w_2_relative_abundance	i_So_6w_3_relative_abundance	i_So_8w_1_relative_abundance	i_So_8w_2_relative_abundance	i_So_8w_3_relative_abundance	o_So_1_relative_abundance	o_So_2_relative_abundance	o_So_3_relative_abundance	Domain	Phylum	Class	Order	Family	Genus	Species
ASV004013	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae		
ASV004015	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0	0	0	0	0	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales			
ASV004023	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
ASV004026	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0	0	0	0	0	0	0	0	0	0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_indohii
ASV004031	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0	0	0	0	0	0	0	0	0	0	0	0	Fungi						
ASV004034	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae		
ASV004047	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0	0	0	0	0	0	0	0	0	0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
ASV004053	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Campylospora	Campylospora_parvula
ASV004054	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
ASV004055	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Plenodomus	Plenodomus_biglobosus
ASV004058	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0	0	0	0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae		
ASV004062	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Ochroconis	Ochroconis_tshawytschae
ASV004069	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae		
